LINEA,MARCA,2024,2025,Var 24/25
Expedition limited stealth performance,Ford,76,21,-0.7236842105263157
Dfh3250a14,Dong feng,3,21,6
Tivoli,Ssangyong,156,21,-0.8653846153846154
Wingle 7,Great wall,28,21,-0.25
E 300,Mercedes benz,18,20,0.11111111111111116
Haval h6,Great wall,25,20,-0.19999999999999996
Df-216dc,Dongfeng,2,20,9
Amg gla 35 4matic,Mercedes benz,19,20,0.05263157894736836
Jx7001eslbev,Jmc,15,20,0.33333333333333326
STQ4258L08Y6S6,SITOM,-,20,-
Bj1226vmpha-f3,Foton,12,20,0.6666666666666667
420i cabrio,Bmw,28,20,-0.2857142857142857
M340i xdrive,Bmw,44,20,-0.5454545454545454
Boxer,Peugeot,2,20,9
Zz4256v384he1cb,Sinotruk,17,19,0.11764705882352944
520i,Bmw,13,19,0.46153846153846145
Pilot 5dr eli-cr 10a,Honda,35,19,-0.4571428571428572
Ev6,Kia,19,19,0
A3 sportback,Audi,49,19,-0.6122448979591837
C40,Volvo,91,19,-0.7912087912087912
MG CYBERSTER 77KWH DEL 2WD,Mg,-,19,-
DFH5250A645,Dongfeng,-,19,-
Nqs-zz1108f3815f1,Sinotruk,6,19,2.1666666666666665
F-150 raptor,Ford,67,18,-0.7313432835820896
Mg marvel r electric edu at del,Mg,45,18,-0.6
218i gran coupe,Bmw,40,18,-0.55
118 i,Bmw,37,18,-0.5135135135135135
Ev9,Kia,48,18,-0.625
SEQUOIA 1794 EDITION - 4WD HIBRIDA,Toyota,-,18,-
EX90,Volvo,-,17,-
Friday,Dongfeng,1,17,16
New koleos,Renault,599,16,-0.9732888146911519
Koleos,Renault,-,16,-
Sequoia trd pro 4wd hibrid,Toyota,1,16,15
Bj1126vfjed-f2,Foton,36,16,-0.5555555555555556
Mokka,Opel,48,16,-0.6666666666666667
Cf410 ft,Daf,8,16,1
Rav 4,Toyota,948,16,-0.9831223628691983
Prado,Toyota,474,16,-0.9662447257383966
Seagull,Byd,2,16,7
