LINEA,MARCA,2024,2025,Var 24/25
F 900 R,BMW,228,121,-0.4692982456140351
CLASSIC 350,ROYAL ENFIELD,164,120,-0.2682926829268293
AY300ZH-2,AYCO,-,120,-
FS125,FRATELLI,187,116,-0.3796791443850267
XPULSE 200T FI OC,HERO,341,115,-0.6627565982404693
TRK 251,BENELLI,71,115,0.619718309859155
SFS125,FRATELLI,188,110,-0.4148936170212766
NEW LIFE 125 URBAN TK,VICTORY,67,110,0.6417910447761195
TRICARGO 300,CERONTE,-,110,-
250 ADVENTURE,KTM,106,109,0.028301886792452935
X1 FI 125 TK,VICTORY,-,109,-
SPORT ELS SPOKE TK,TVS,161,104,-0.35403726708074534
SCRAM 411,ROYAL ENFIELD,426,104,-0.755868544600939
G 310 R,BMW,138,102,-0.26086956521739135
XRE 300 SAHARA RALLY,HONDA,23,100,3.3478260869565215
NEW BLACK,VICTORY,1235,98,-0.9206477732793522
CF400-6F,CFMOTO,252,97,-0.6150793650793651
SVARTPILEN 200,HUSQVARNA,138,96,-0.30434782608695654
ZONTES 350 GK,VICTORY,24,96,3
ZONTES 350 T2,VICTORY,38,94,1.473684210526316
CF400-7H,CFMOTO,-,90,-
REACTOR,STARKER,171,90,-0.4736842105263158
SVARTPILEN 250,HUSQVARNA,39,90,1.3076923076923075
XL750S,HONDA,-,87,-
TRK 502X,BENELLI,125,87,-0.30400000000000005
CF300-5F,CFMOTO,16,85,4.3125
CB500XAR,HONDA,236,84,-0.6440677966101696
MG12B,SYM,205,83,-0.5951219512195122
RAPID 125,VENTO,-,82,-
ONE ST 100,VICTORY,320,81,-0.746875
X1 FI 125,VICTORY,-,81,-
MG20B,SYM,135,79,-0.41481481481481486
APACHE RTR 310,TVS,117,78,-0.33333333333333337
CPX,SUPER SOCO,23,77,2.347826086956522
AGILITY GO,KYMCO,1460,77,-0.9472602739726027
GBR 200,BERA,-,76,-
180S ABS,BENELLI,182,76,-0.5824175824175823
XR 150L ADVENTURE E3,HONDA,862,75,-0.9129930394431555
V-STROM 800DE,SUZUKI,71,75,0.05633802816901401
ZONTES 350 R1,VICTORY,38,74,0.9473684210526316
CARRY,BRENSON,77,74,-0.038961038961038974
TNT25N,BENELLI,39,73,0.8717948717948718
ONE MP SILVER,VICTORY,643,72,-0.8880248833592534
F 900 GS,BMW,88,72,-0.18181818181818177
NQI GTS,NIU,18,70,2.888888888888889
LIGERA 125,FRATELLI,107,70,-0.3457943925233645
KLE300C,KAWASAKI,79,69,-0.12658227848101267
CRF250F,HONDA,34,69,1.0294117647058822
TEB70,SYM,-,69,-
CF400-9F,CFMOTO,56,69,0.2321428571428572
NITRO 125 FACELIFT TK,VICTORY,-,68,-
SHOTGUN 650,ROYAL ENFIELD,68,66,-0.02941176470588236
F 900 GS ADVENTURE,BMW,55,64,0.16363636363636358
TNT150I,BENELLI,863,63,-0.9269988412514485
SCRAMBLER ICON,DUCATI,76,60,-0.21052631578947367
RC 200 GP,KTM,59,59,0
